#[Fe/H] err [Mg/Fe] err
-1.20 0.11 -0.22 0.19
-2.07 0.12 +0.92 0.26
-2.18 0.11 +0.53 0.13
-1.56 0.11 +0.40 0.16
-1.25 0.11 -0.28 0.29
-1.51 0.12 +0.50 0.29
-2.29 0.11 +0.65 0.38
-1.34 0.11 -0.00 0.17
-1.41 0.11 -0.32 0.52
-1.47 0.11 +0.21 0.25
-1.14 0.11 -0.00 0.23
-2.11 0.16 +0.94 0.64
-1.73 0.12 +0.20 0.55
-1.67 0.11 +0.32 0.14
-1.68 0.11 +0.45 0.27
-1.51 0.11 +0.50 0.25
-1.58 0.11 +0.16 0.14
-1.86 0.12 +0.70 0.37
-1.31 0.11 -0.02 0.16
-1.63 0.15 +0.57 0.68
-1.62 0.11 +0.49 0.36
-1.28 0.11 +0.04 0.19
-1.18 0.11 +0.05 0.16
-1.34 0.11 -0.32 0.30
-1.44 0.11 +0.15 0.31
-2.06 0.11 +0.46 0.25
-1.28 0.11 +0.06 0.17
-1.73 0.11 +0.36 0.41
-1.88 0.11 +0.51 0.22
-1.81 0.12 +0.74 0.39
-1.01 0.11 -0.09 0.18
-1.95 0.11 +0.16 0.29
-1.15 0.11 -0.40 0.24
-1.33 0.11 -0.11 0.17
-1.26 0.11 -0.12 0.27
-1.21 0.11 -0.36 0.25
-2.68 0.11 +0.60 0.34
-1.38 0.11 -0.53 0.54
-2.33 0.11 +0.26 0.45
-2.10 0.12 +0.94 0.34
-1.33 0.11 -0.50 0.59
-1.41 0.11 +0.33 0.42
-1.43 0.11 -0.05 0.18
-1.51 0.11 +0.36 0.28
-1.03 0.11 +0.42 0.23
-2.35 0.11 +0.35 0.56
-2.00 0.11 +0.11 0.45
-1.32 0.11 -0.09 0.34
-1.40 0.11 +0.03 0.24
-2.02 0.14 +0.55 0.84
-1.75 0.12 -0.09 0.99
-1.86 0.11 -0.20 0.72
-1.24 0.11 +0.04 0.18
-1.53 0.11 -0.20 0.68
-1.33 0.11 +0.10 0.18
-1.45 0.11 +0.30 0.27
-1.23 0.11 -0.05 0.23
-1.69 0.12 +0.67 0.27
-1.90 0.11 +0.48 0.23
-1.90 0.11 +0.38 0.20
-1.26 0.11 -0.40 0.33
-1.76 0.11 -0.03 0.26
-1.72 0.12 +0.32 0.37
-1.26 0.11 -0.30 0.32
-2.34 0.29 +1.10 0.64
-2.02 0.12 +0.25 0.77
-1.40 0.12 +0.68 0.39
-1.18 0.11 -0.78 0.79
-1.40 0.11 -0.05 0.17
-2.12 0.11 +0.58 0.31
-1.06 0.11 -0.49 0.22
-1.30 0.11 -0.25 0.77
-1.25 0.13 +0.22 0.82
-1.44 0.11 -0.18 0.28
-1.43 0.11 +0.11 0.15
-2.29 0.13 +1.17 0.31
-1.59 0.14 +0.30 0.59
-1.32 0.12 +0.59 0.41
-1.81 0.11 +0.15 0.17
-1.99 0.14 +1.14 0.38
-1.82 0.11 +0.24 0.36
-1.91 0.12 +0.51 0.45
-2.25 0.13 +1.01 0.28
-1.34 0.11 -0.38 0.82
-1.35 0.12 +0.31 0.43
-1.29 0.11 -0.26 0.34
-1.13 0.11 +0.58 0.18
-1.54 0.11 -0.15 0.50
-2.10 0.12 +0.64 0.41
-1.83 0.11 +0.18 0.31
-1.17 0.11 -0.01 0.22
-1.55 0.11 +0.14 0.16
-1.51 0.11 -0.62 0.60
-2.68 0.12 +0.98 0.51
-1.10 0.11 -0.05 0.20
-1.30 0.11 -0.16 0.33
-1.77 0.11 +0.24 0.48
-0.93 0.11 -0.13 0.24
-1.41 0.11 -0.43 0.73
-1.28 0.11 -0.05 0.15
-1.35 0.11 +0.05 0.19
-1.37 0.11 +0.05 0.42
-1.04 0.11 -0.28 0.38
-1.97 0.12 +0.51 0.42
-1.65 0.11 -0.24 0.68
-1.87 0.11 +0.27 0.24
-1.25 0.11 -0.45 0.84
-1.65 0.11 +0.13 0.28
-1.37 0.11 -0.34 0.66
-2.04 0.12 +0.58 0.50
-1.44 0.12 +0.40 0.51
-1.14 0.11 -0.24 0.27
-1.63 0.11 -0.02 0.90
-1.38 0.11 +0.20 0.17
-1.01 0.12 -0.24 0.73
-1.19 0.11 -0.42 0.31
-1.84 0.16 +0.57 0.82
-1.31 0.11 -0.03 0.46
-1.65 0.11 +0.10 0.21
-1.97 0.12 +0.76 0.51
-2.16 0.11 +0.52 0.33
-2.00 0.11 +0.25 0.39
-1.63 0.20 +0.77 0.79
-2.29 0.13 +0.91 0.53
-1.41 0.11 -0.13 0.34
-1.93 0.11 +0.74 0.46
-1.75 0.15 +0.66 0.58
-1.36 0.13 +0.93 0.30
-1.77 0.11 +0.17 0.36
-1.38 0.13 +0.40 0.67
-1.64 0.11 -0.76 0.88
-1.25 0.11 -0.07 0.30
-2.53 0.13 +0.61 0.64
-2.24 0.29 +1.02 0.79
-1.27 0.11 -0.16 0.38
-1.27 0.11 -0.03 0.27
-2.14 0.13 +0.89 0.36
-1.42 0.11 -0.11 0.21
-1.39 0.11 -0.18 0.18
-1.46 0.11 -0.23 0.93
-1.32 0.11 +0.27 0.23
-1.62 0.11 +0.36 0.13
-1.22 0.12 +0.52 0.41
-1.84 0.12 +0.41 0.39
-2.00 0.11 +0.34 0.25
-2.23 0.11 +0.74 0.19
-1.05 0.11 -0.37 0.24
-1.23 0.11 -0.10 0.20
-1.38 0.11 +0.07 0.26
-1.74 0.11 +0.30 0.13
-2.11 0.11 +0.63 0.40
-2.27 0.16 +0.77 0.85
-1.57 0.11 -0.02 0.16
-2.17 0.11 +1.08 0.15
-1.54 0.11 +0.04 0.21
-1.38 0.11 -0.08 0.25
-2.13 0.11 +0.34 0.32
-1.04 0.11 +0.27 0.31
-1.72 0.11 +0.18 0.21
-1.28 0.11 +0.11 0.18
-1.49 0.11 +0.19 0.43
-2.37 0.11 +0.64 0.15
-1.51 0.11 -0.21 0.26
-1.43 0.11 -0.08 0.86
-1.30 0.11 +0.06 0.29
-2.17 0.19 +1.14 0.47
-1.80 0.11 +0.09 0.21
